Survey_ID,Transect,Deeltraject,Tijd,Soort,Aantal,
28,1,8,14:54,Grote keizerlibel,1,
28,1,8,14:54,Bloedrode heidelibel,3,
28,1,8,14:54,Vroege glazenmaker,1,
28,1,9,15:03,Breedscheenjuffer,1,
28,1,9,15:03,Gewone pantserjuffer,1,
28,1,9,15:03,Lantaarntje,14,
28,1,9,15:03,Gewone oeverlibel,1,
28,1,9,15:03,Viervleklibel,1,
28,1,9,15:03,Bloedrode heidelibel,8,
28,1,9,15:03,Vroege glazenmaker,1,
28,1,9,15:03,Vuurlibel,4,
28,1,10,15:09,Bloedrode heidelibel,7,
28,1,10,15:09,Vroege glazenmaker,1,
28,1,10,15:09,Vuurlibel,3,
28,2,1,15:30,Gewone oeverlibel,1,
28,2,2,15:33,Gewone oeverlibel,5,
28,2,3,15:36,Lantaarntje,8,
28,2,3,15:36,Gewone oeverlibel,3,
28,2,3,15:36,Bloedrode heidelibel,1,
28,2,4,15:38,Gewone oeverlibel,1,
28,2,4,15:38,Bloedrode heidelibel,1,
28,2,4,15:38,Vuurlibel,1,
28,2,5,15:41,Lantaarntje,1,
28,2,5,15:41,Gewone oeverlibel,2,
28,2,5,15:41,Vuurlibel,1,
28,2,6,15:44,Vuurlibel,2,
28,2,7,15:49,Lantaarntje,8,
28,2,7,15:49,Gewone oeverlibel,3,
28,2,8,15:51,,,
28,2,9,15:53,Gewone pantserjuffer,1,
28,2,9,15:53,Lantaarntje,36,
28,2,9,15:53,Variabele waterjuffer,1,
28,2,9,15:53,Gewone oeverlibel,1,
28,2,9,15:53,Zuidelijke keizerlibel,2,
28,2,10,15:59,Gewone oeverlibel,2,
28,2,10,15:59,Bloedrode heidelibel,5,
30,1,1,12:21,,,
30,1,2,12:22,,,
30,1,3,12:25,,,
30,1,4,12:28,,,
30,1,5,12:30,,,
30,1,6,12:33,Lantaarntje,1,
30,1,7,12:35,,,
30,1,8,12:38,,,
30,1,9,12:40,,,
30,1,10,12:42,,,
30,2,1,11:18,,,
30,2,2,11:22,,,
30,2,3,11:29,,,
30,2,4,11:33,,,
30,2,5,11:36,,,
30,2,6,11:40,,,
30,2,7,11:44,,,
30,2,8,11:48,Lantaarntje,5,
