Locatie,Datum,Stops in meters,Locatie + Stops,Rondes,X,Y,Soorten,Aantal,Paringswiel,Ei-afzettend,Temperatuur,Bewolking,Neerslag,Bft
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Kleine Roodoofjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Grote Roodoogjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Lantaarntje,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Variabele waterjuffer,1,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Maanwater juffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Speerwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Donkere waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Azuurwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Blauwe breedscheenjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Watersnuffel,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Kleine Roodoofjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,150,Rijnstrangengemaal 150,Ronde_2,51.91467,6.00052,Grote Roodoogjuffer,,,,19,1/4,geen,ONO2
